scenario,controller,freqHz,gainDB,phaseLagDeg,saturated
A_sampling_rate,PID,5,-0.00632114676176855,-1.67183138847477,0
A_sampling_rate,Preview,5,3.0974864773584e-05,0.000453691386747599,0
A_sampling_rate,ADRC_Smith,5,-0.174236938994762,-10.2199127279276,0
A_sampling_rate,PID,7.31234673216815,-0.0135067437216865,-2.44305077590247,0
A_sampling_rate,Preview,7.31234673216815,3.27231859112776e-05,0.00066333396167728,0
A_sampling_rate,ADRC_Smith,7.31234673216815,-0.364375432539091,-14.6991221884207,0
A_sampling_rate,PID,10.69408294629,-0.0288325010944063,-3.56633554932441,0
A_sampling_rate,Preview,10.69408294629,3.64613663048561e-05,0.000969411272324514,0
A_sampling_rate,ADRC_Smith,10.69408294629,-0.74467905045084,-20.7832097748477,0
A_sampling_rate,PID,15.6397684971678,-0.0613942018801227,-5.19695924534854,0
A_sampling_rate,Preview,15.6397684971678,4.4451404864314e-05,0.00141589230962558,0
A_sampling_rate,ADRC_Smith,15.6397684971678,-1.45937603361327,-28.484124431799,0
A_sampling_rate,PID,22.8726820124263,-0.130115683360662,-7.54070746095577,0
A_sampling_rate,Preview,22.8726820124263,6.15165414892829e-05,0.00206533069829758,0
A_sampling_rate,ADRC_Smith,22.8726820124263,-2.67449652887654,-37.130159646921,0
A_sampling_rate,PID,33.4505963138973,-0.272914546930302,-10.8501235171126,0
A_sampling_rate,Preview,33.4505963138973,9.79052875431838e-05,0.00300262965961376,0
A_sampling_rate,ADRC_Smith,33.4505963138973,-4.48203091738011,-45.2287639162502,0
A_sampling_rate,PID,48.9204717290006,-0.560606258145107,-15.3549756838242,0
A_sampling_rate,Preview,48.9204717290006,0.000175236474809498,0.00433830511333606,0
A_sampling_rate,ADRC_Smith,48.9204717290006,-6.81440570385826,-51.0160979211897,0
A_sampling_rate,PID,71.5446903167364,-1.10851433928592,-21.0253581350043,0
A_sampling_rate,Preview,71.5446903167364,0.000338355102626711,0.00617802272829582,0
A_sampling_rate,ADRC_Smith,71.5446903167364,-9.47496126051988,-53.1999783416338,0
A_sampling_rate,PID,104.631916488314,-2.05283749434823,-27.2222906033555,0
A_sampling_rate,Preview,104.631916488314,0.000677095144442316,0.00852260534215611,0
A_sampling_rate,ADRC_Smith,104.631916488314,-12.2233323294136,-51.1400467685644,0
A_sampling_rate,PID,153.020970522762,-3.45319028254956,-32.3747002147495,0
A_sampling_rate,Preview,153.020970522762,0.00135649084721511,0.010904662554741,0
A_sampling_rate,ADRC_Smith,153.020970522762,-14.8302978121519,-44.8074712638089,0
A_sampling_rate,PID,223.788478751064,-5.11678990156935,-34.3978348272249,0
A_sampling_rate,Preview,223.788478751064,0.00260265898946254,0.0116321215521382,0
A_sampling_rate,ADRC_Smith,223.788478751064,-17.1753394680993,-35.0525736042138,0
A_sampling_rate,PID,327.283790258445,-6.37811454088465,-32.1771034140468,0
A_sampling_rate,Preview,327.283790258445,0.00447966488109353,0.00608643583491296,0
A_sampling_rate,ADRC_Smith,327.283790258445,-19.318674759578,-22.8546348333162,0
A_sampling_rate,PID,478.642510837589,-8.48970927340708,-37.3639535566637,0
A_sampling_rate,Preview,478.642510837589,0.00383415836375614,-0.0365198405679314,0
A_sampling_rate,ADRC_Smith,478.642510837589,-21.6342425690972,-3.96427237263659,0
A_sampling_rate,PID,700,-10.0320018669147,-51.1486318462017,0
A_sampling_rate,Preview,700,0.0039805790853681,-0.0460261787119663,0
A_sampling_rate,ADRC_Smith,700,-22.6087468365201,10.8447343582663,0
B_loop_rate,PID,5,-0.0274632050447861,-3.6255374758056,0
B_loop_rate,Preview,5,-0.000358828215835389,0.863098278454135,0
B_loop_rate,ADRC_Smith,5,-5.80670129833524,-57.314298853532,0
B_loop_rate,PID,7.31234673216815,-0.0584678053059453,-5.28324675608257,0
B_loop_rate,Preview,7.31234673216815,-0.000769037342543909,1.26066577252893,0
B_loop_rate,ADRC_Smith,7.31234673216815,-8.44546726281138,-65.0640356288417,0
B_loop_rate,PID,10.69408294629,-0.123782732402481,-7.67067321599057,0
B_loop_rate,Preview,10.69408294629,-0.00165275989358738,1.84340117919329,0
B_loop_rate,ADRC_Smith,10.69408294629,-11.3828260912567,-70.4020454179718,0
B_loop_rate,PID,15.6397684971678,-0.259380632429128,-11.0411954308912,0
B_loop_rate,Preview,15.6397684971678,-0.003537767319513,2.69201675986417,0
B_loop_rate,ADRC_Smith,15.6397684971678,-14.4705057859655,-73.4898118984991,0
B_loop_rate,PID,22.8726820124263,-0.531528453165011,-15.6414525599623,0
B_loop_rate,Preview,22.8726820124263,-0.00762139606946619,3.93376911419225,0
B_loop_rate,ADRC_Smith,22.8726820124263,-17.6197089827639,-75.5002583655637,0
B_loop_rate,PID,33.4505963138973,-1.04530743509365,-21.4922939264579,0
B_loop_rate,Preview,33.4505963138973,-0.0163254386463192,5.7520414010035,0
B_loop_rate,ADRC_Smith,33.4505963138973,-20.8148761011081,-79.9486341546585,0
B_loop_rate,PID,48.9204717290006,-1.9205615827091,-28.0178193137957,0
B_loop_rate,Preview,48.9204717290006,-0.0351331522796103,8.38067348461883,0
B_loop_rate,ADRC_Smith,48.9204717290006,-23.877636166628,-92.300725768978,0
B_loop_rate,PID,71.5446903167364,-3.18474626360922,-34.0345086704301,0
B_loop_rate,Preview,71.5446903167364,-0.0736553580275372,12.2492019544215,0
B_loop_rate,ADRC_Smith,71.5446903167364,-25.9074002087722,-112.954697369422,0
B_loop_rate,PID,104.631916488314,-4.66644450974515,-38.2446164065857,0
B_loop_rate,Preview,104.631916488314,-0.161711771329259,17.738459739881,0
B_loop_rate,ADRC_Smith,104.631916488314,-26.5855525116322,-130.929657034167,0
B_loop_rate,PID,153.020970522762,-5.9898957843576,-40.7531913150098,0
B_loop_rate,Preview,153.020970522762,-0.367176559346386,25.6812461382338,0
B_loop_rate,ADRC_Smith,153.020970522762,-27.0335858853921,-139.591678741104,0
B_loop_rate,PID,223.788478751064,-6.75344466064504,-44.3559474112123,0
B_loop_rate,Preview,223.788478751064,-0.773115137753631,37.3880372262206,0
B_loop_rate,ADRC_Smith,223.788478751064,-27.6571198803403,-141.041938395352,0
B_loop_rate,PID,327.283790258445,-6.73901834070772,-55.2311128502779,0
B_loop_rate,Preview,327.283790258445,-1.64642660626354,53.9915863116939,0
B_loop_rate,ADRC_Smith,327.283790258445,-28.1102300718816,-140.51421582553,0
B_loop_rate,PID,478.642510837589,-3.29920932570672,-70.2410808020678,0
B_loop_rate,Preview,478.642510837589,-1.00996726670738,105.079906783983,0
B_loop_rate,ADRC_Smith,478.642510837589,-28.702698122726,-124.380429096149,0
B_loop_rate,PID,700,-14.6437194982782,-132.598626380599,0
B_loop_rate,Preview,700,-7.86930100203215,122.77805179361,0
B_loop_rate,ADRC_Smith,700,-30.8867685828173,-161.485287931606,0
C_feedback_delay,PID,3,-0.0246514322099905,-3.33815916182919,0
C_feedback_delay,Preview,3,4.75993252708795e-05,0.000448121492802672,0
C_feedback_delay,ADRC_Smith,3,-6.29722297648766,-58.1062359848068,0
C_feedback_delay,PID,4.37097256522552,-0.0521313663745337,-4.84874221366426,0
C_feedback_delay,Preview,4.37097256522552,5.12175413596631e-05,0.000652237580242052,0
C_feedback_delay,ADRC_Smith,4.37097256522552,-8.98387094301527,-64.917446028742,0
C_feedback_delay,PID,6.36846705531807,-0.1097805580076,-7.01901566109709,0
C_feedback_delay,Preview,6.36846705531807,5.88915919159634e-05,0.000948168632482941,0
C_feedback_delay,ADRC_Smith,6.36846705531807,-11.9365005759845,-69.1529989667068,0
C_feedback_delay,PID,9.27879826044595,-0.229175441533378,-10.0895949098991,0
C_feedback_delay,Preview,9.27879826044595,7.51517764358722e-05,0.00137498944220399,0
C_feedback_delay,ADRC_Smith,9.27879826044595,-15.0255870310264,-70.9862370267844,0
C_feedback_delay,PID,13.5191242115572,-0.470111049888091,-14.300008090891,0
C_feedback_delay,Preview,13.5191242115572,0.000109532103414157,0.0019834236733218,0
C_feedback_delay,ADRC_Smith,13.5191242115572,-18.2017156067613,-71.6559002215712,0
C_feedback_delay,PID,19.6972403448642,-0.932661020653769,-19.7285474669843,0
C_feedback_delay,Preview,19.6972403448642,0.000181899271153619,0.00282816098060646,0
C_feedback_delay,ADRC_Smith,19.6972403448642,-21.5595280040057,-74.704561304733,0
C_feedback_delay,PID,28.6986990526849,-1.74603094901618,-25.9727802628948,0
C_feedback_delay,Preview,28.6986990526849,0.000332759774848623,0.00393193971403694,0
C_feedback_delay,ADRC_Smith,28.6986990526849,-25.1679776091766,-85.7527179751132,0
C_feedback_delay,PID,41.8137420723165,-2.99498963275145,-31.8670822347124,0
C_feedback_delay,Preview,41.8137420723165,0.00064072195641597,0.0051559568770277,0
C_feedback_delay,ADRC_Smith,41.8137420723165,-28.3432500954322,-107.940781540153,0
C_feedback_delay,PID,60.9222398158372,-4.59704010220587,-35.8177809895545,0
C_feedback_delay,Preview,60.9222398158372,0.00124056546618571,0.00581397019895277,0
C_feedback_delay,ADRC_Smith,60.9222398158372,-30.2903730214,-133.02449519951,0
C_feedback_delay,PID,88.7631462823715,-6.2567020726841,-37.033898765645,0
C_feedback_delay,Preview,88.7631462823715,0.00228481916773098,0.00366359141371643,0
C_feedback_delay,ADRC_Smith,88.7631462823715,-32.1828706360954,-152.992145008446,0
C_feedback_delay,PID,129.327092401115,-7.63415179880497,-37.1084841159301,0
C_feedback_delay,Preview,129.327092401115,0.00359446247637592,-0.0068143913584467,0
